	HUM	TEMP	LIGHT	PRESS	PREC
2022-01-01 00:00:00	10.0	15.0	1.0	1.0	1.0
2022-01-01 00:05:00	12.0	9.0	13.0	12.0	4.0
2022-01-01 00:10:00	4.0	1.0	20.0	6.0	8.0
2022-01-01 00:15:00	1.0	8.0	8.0	2.0	12.0
2022-01-01 00:20:00	11.0	9.0	13.0	12.0	9.0
2022-01-01 00:25:00	6.0	2.0	10.0	16.0	19.0
2022-01-01 00:30:00	5.0	19.0	6.0	7.0	5.0
2022-01-01 00:35:00	5.0	18.0	2.0	11.0	18.0
2022-01-01 00:40:00	7.0	16.0	15.0	2.0	9.0
2022-01-01 00:45:00	16.0	8.0	20.0	20.0	16.0
2022-01-01 00:50:00	1.0	14.0	10.0	0.0	10.0
2022-01-01 00:55:00	5.0	0.0	19.0	1.0	2.0
2022-01-01 01:00:00	6.0	18.0	18.0	2.0	12.0
2022-01-01 01:05:00	14.0	18.0	11.0	14.0	13.0
2022-01-01 01:10:00	19.0	2.0	5.0	7.0	1.0
2022-01-01 01:15:00	5.0	7.0	11.0	19.0	17.0
2022-01-01 01:20:00	0.0	17.0	13.0	15.0	4.0
2022-01-01 01:25:00	8.0	17.0	0.0	17.0	15.0
2022-01-01 01:30:00	9.0	12.0	8.0	19.0	13.0
2022-01-01 01:35:00	0.0	3.0	4.0	4.0	4.0
2022-01-01 01:40:00	16.0	9.0	16.0	9.0	8.0
2022-01-01 01:45:00	18.0	18.0	7.0	14.0	7.0
2022-01-01 01:50:00	13.0	12.0	1.0	2.0	19.0
2022-01-01 01:55:00	15.0	7.0	3.0	16.0	12.0
2022-01-01 02:00:00	16.0	17.0	9.0	6.0	8.0
2022-01-01 02:05:00	17.0	7.0	9.0	5.0	5.0
2022-01-01 02:10:00	17.0	8.0	12.0	6.0	15.0
2022-01-01 02:15:00	15.0	8.0	3.0	19.0	6.0
2022-01-01 02:20:00	3.0	13.0	12.0	10.0	4.0
2022-01-01 02:25:00	1.0	11.0	14.0	1.0	12.0
2022-01-01 02:30:00	3.0	17.0	16.0	8.0	14.0
2022-01-01 02:35:00	8.0	17.0	18.0	7.0	15.0
2022-01-01 02:40:00	15.0	5.0	15.0	17.0	13.0
2022-01-01 02:45:00	18.0	4.0	12.0	6.0	5.0
2022-01-01 02:50:00	12.0	6.0	16.0	15.0	19.0
2022-01-01 02:55:00	8.0	2.0	5.0	18.0	19.0
2022-01-01 03:00:00	7.0	16.0	17.0	15.0	11.0
2022-01-01 03:05:00	0.0	11.0	3.0	8.0	11.0
2022-01-01 03:10:00	2.0	11.0	17.0	3.0	7.0
2022-01-01 03:15:00	5.0	14.0	5.0	19.0	15.0
2022-01-01 03:20:00	16.0	5.0	9.0	6.0	17.0
2022-01-01 03:25:00	17.0	15.0	6.0	5.0	11.0
2022-01-01 03:30:00	8.0	17.0	12.0	18.0	2.0
2022-01-01 03:35:00	5.0	18.0	12.0	1.0	9.0
2022-01-01 03:40:00	4.0	7.0	19.0	10.0	3.0
2022-01-01 03:45:00	16.0	8.0	13.0	2.0	15.0
2022-01-01 03:50:00	16.0	4.0	11.0	12.0	4.0
2022-01-01 03:55:00	7.0	14.0	8.0	17.0	1.0
2022-01-01 04:00:00	14.0	17.0	3.0	19.0	7.0
2022-01-01 04:05:00	8.0	16.0	4.0	6.0	10.0
2022-01-01 04:10:00	17.0	17.0	1.0	14.0	17.0
